"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Aleutians East Borough","AK","7","3360","3141","2.8","10.1","6.6","30.9","22.8","12","20.5","40.7","0.6","3.4","13.2","11.5","99","56.6","747","54.7","118500","435","2.46","-1","-1","78.5","12","-1","-1","-1","-1","61250","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","655.12"
"Aleutians West Census Area","AK","3.4","5750","5561","3.6","12.3","5.4","32.4","37.8","7.6","13","34.5","2.3","4.7","14.1","26.9","354","34.9","1932","36.4","218400","1033","3.52","-1","-1","82.7","13.3","-1","-1","-1","-1","81853","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.3","449.5"
"Anchorage Municipality","AK","3.1","301010","291826","7.4","24.9","8.9","48.6","66.1","6.3","8.2","9.2","2.4","7.8","8.9","59.7","30292","9.4","114332","60.6","282800","105208","2.73","-1","-1","92.5","32.8","-1","-1","-1","-1","77454","-1","-1","-1","-1","-1","-1","-1","-1","-1","171.2","1052.58"
"Bethel Census Area","AK","5","17868","17013","11.1","36.1","6.6","48.3","12.1","0.8","81.7","1.1","0.2","4.1","1.8","11.5","909","1.2","5920","64.2","189600","4358","3.9","-1","-1","79.5","11.7","-1","-1","-1","-1","51689","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","569.27"
"Bristol Bay Borough","AK","-4","957","997","5.2","20.1","9.7","44.3","46.1","0","35.2","1","0.3","17.3","4.3","44.1","91","0.6","965","57.3","175000","384","2.42","-1","-1","91.7","19.4","-1","-1","-1","-1","79531","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","405.28"
"Denali Borough","AK","5.2","1921","1826","4.7","18.8","8.5","45.6","86","1.8","3.7","3.6","0.1","4.8","3.7","82.7","198","7.4","1760","68.9","192500","716","2.26","-1","-1","88.8","28.1","-1","-1","-1","-1","72500","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.1","567.32"
"Dillingham Census Area","AK","2.9","4988","4847","11","31.9","7.9","48.6","18.7","0.7","70.4","0.9","0.2","9.1","3.1","17.6","214","1.5","2422","57.8","194000","1339","3.59","-1","-1","83.7","17.8","-1","-1","-1","-1","54150","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","573.48"
"Fairbanks North Star Borough","AK","1.8","99357","97581","7.7","24.1","8","45.9","77.3","5.4","7.3","3.1","0.5","6.3","7.7","71.3","11048","5.7","41684","59.2","212500","35588","2.67","-1","-1","93.1","29","-1","-1","-1","-1","69223","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.3","1167.65"
"Haines Borough","AK","2.3","2566","2508","3.7","19.1","16.8","51","79.1","0.7","10.4","1.1","0","8.8","2.5","77.5","282","5","1639","64.2","171900","1245","2.01","-1","-1","96.4","30.1","-1","-1","-1","-1","52866","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.1","423.44"
"Hoonah-Angoon Census Area","AK","-3.1","2082","2150","5.2","19.4","16.5","46.5","48.8","0.6","39.5","0.7","0.1","10.3","5.1","47.2","172","3","1755","63.4","200500","930","2.23","-1","-1","88.4","26.9","-1","-1","-1","-1","49545","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","1363.06"
"Juneau City and Borough","AK","3.6","32406","31275","5.9","22.1","10.6","48.8","69.9","1.6","11.9","6.2","1.1","9.3","6.5","65.5","2739","6.5","13207","64.5","309900","12099","2.58","-1","-1","95.5","36.7","-1","-1","-1","-1","81490","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.6","855.2"
"Kenai Peninsula Borough","AK","3.7","57477","55400","6.4","23.1","14.2","47.6","84.5","0.8","7.3","1.4","0.3","5.7","4","81.4","6137","2.6","30698","72.7","204900","21720","2.5","-1","-1","92.8","23.7","-1","-1","-1","-1","61793","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.4","339.03"
"Ketchikan Gateway Borough","AK","2.3","13787","13477","6.5","22.8","12.5","47.9","68.4","0.9","13.8","7.5","0.2","9.1","4.9","65.2","1421","7.3","6239","58.5","265600","5295","2.5","-1","-1","93.5","25.4","-1","-1","-1","-1","62519","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.8","462.41"
"Kodiak Island Borough","AK","2.8","13986","13592","8","26","8.6","46.2","57.2","1.5","13","20.7","0.9","6.7","8.7","50.8","1097","14.2","5327","56.9","224500","4501","2.97","-1","-1","89.6","20","-1","-1","-1","-1","68718","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.1","563.27"
"Lake and Peninsula Borough","AK","-0.2","1631","1631","9.3","28.1","9","47.1","25.1","1","63.4","0.3","0.3","9.9","3.2","23.6","79","1.7","1501","64.4","136400","508","2.83","-1","-1","86.8","15.4","-1","-1","-1","-1","51786","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.1","583.87"
"Matanuska-Susitna Borough","AK","10","97882","88995","7.2","27.3","9.6","47.5","83.8","1.3","6.4","1.4","0.4","6.7","4.7","80.3","9600","3.4","41313","76.7","218900","31123","2.89","-1","-1","92.4","21.3","-1","-1","-1","-1","71037","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.6","518.67"
"Nome Census Area","AK","3.4","9817","9492","11.1","34.9","7.3","47.6","17.3","0.7","74.5","1.2","0.1","6.3","2","16.5","600","1.4","4045","55.1","142800","2797","3.37","-1","-1","84.1","17.1","-1","-1","-1","-1","49974","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","1924.98"
"North Slope Borough","AK","2.9","9703","9430","8.6","25.8","4.8","37.5","33.9","1.5","52.1","5.8","1.6","5.1","3.9","32.1","604","5.3","2586","48.3","154600","1990","3.48","-1","-1","86","14.5","-1","-1","-1","-1","80761","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.1","645.65"
"Northwest Arctic Borough","AK","2.6","7717","7523","11.5","36.1","6.9","45.8","13.1","1","78.8","0.9","0.2","6","2.1","12.1","367","1.2","2704","56","131000","1828","4","-1","-1","78.7","11","-1","-1","-1","-1","61607","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.2","766.33"
"Petersburg Borough","AK","-1.5","3160","3815","6.7","22.3","13.3","48.2","77.9","1.6","9.8","3.1","0.3","7.3","5.6","73.6","345","4.6","1646","69.2","215100","1643","2.2","-1","-1","95.7","25.7","-1","-1","-1","-1","63934","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.2","1821.66"
"Prince of Wales-Hyder Census Area","AK","3.6","6396","5559","6.5","24.1","11.4","45.3","47.2","0.4","42.4","0.7","0.4","9","3.3","45.5","492","1.4","3319","70.7","162500","2240","2.49","-1","-1","91","15.7","-1","-1","-1","-1","46071","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.4","875.02"
"Sitka City and Borough","AK","0.2","8900","8881","6.1","22.2","13.2","48.7","67","1.1","15.9","6.6","0.3","9.1","6","63.6","757","7.7","4122","56.2","323200","3554","2.42","-1","-1","91.2","34.1","-1","-1","-1","-1","69405","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.1","739.02"
"Skagway Municipality","AK","7","1036","968","5.2","13.1","10.6","47.6","89.9","0.3","5","0.7","0.2","4","4.3","86.2","47","8.9","662","59.2","305600","412","2.23","-1","-1","95.2","24.3","-1","-1","-1","-1","71667","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.1","722.64"
"Southeast Fairbanks Census Area","AK","-1.4","6931","7029","7.7","25.6","12","44.4","80","1.5","11.6","1.3","0.5","5.2","4.9","76.2","973","9.1","3890","66.5","175000","2326","2.84","-1","-1","93.1","23.1","-1","-1","-1","-1","56801","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","4273.84"
"Valdez-Cordova Census Area","AK","-1.5","9488","9636","7.1","24.5","10.1","47.3","74","0.9","13.5","4","0.7","6.9","4.7","70.7","895","4.6","6089","74.5","177700","3424","2.73","-1","-1","91","23.9","-1","-1","-1","-1","74878","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","720.7"
"Wade Hampton Census Area","AK","7.4","8010","7459","13.7","42","5.2","47.5","5.2","0.2","91.7","0.3","0","2.6","1.1","4.9","351","0.6","2183","71.1","109300","1744","4.39","-1","-1","76.6","5.4","-1","-1","-1","-1","40176","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.4","674.59"
"Wrangell City and Borough","AK","0","2364","2369","4.8","20.3","17.9","48.2","70.6","0.4","16.9","1.9","0","10.3","2.2","69.2","364","2.8","1422","71.4","157400","1149","2.01","-1","-1","89","16.7","-1","-1","-1","-1","45841","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.9","400.04"
"Yakutat City and Borough","AK","-4.1","635","662","5.7","19.2","12.8","44.6","39.8","2.5","36.1","4.6","1.7","15.3","3.3","37.2","58","5.9","450","49.6","147500","254","2.15","-1","-1","93.2","22.7","-1","-1","-1","-1","72500","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.1","6981.94"
"Yukon-Koyukuk Census Area","AK","-0.7","5547","5588","8.3","27.8","13.3","46.3","23.2","0.6","70.7","0.3","0.1","5","2","22","419","1.1","4024","70.4","106500","2056","2.72","-1","-1","80.3","9.3","-1","-1","-1","-1","34710","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","4390.28"
"Autauga County","AL","1.5","55395","54571","6","25.2","13.8","51.4","77.9","18.7","0.5","1.1","0.1","1.8","2.7","75.6","5922","1.6","22751","76.8","136200","20071","2.71","-1","-1","85.6","20.9","-1","-1","-1","-1","53682","-1","-1","-1","-1","-1","-1","-1","-1","-1","91.8","235.51"
"Baldwin County","AL","9.8","200111","182265","5.6","22.2","18.7","51.2","87.1","9.6","0.7","0.9","0.1","1.6","4.6","83","19346","3.6","107374","72.6","168600","73283","2.52","-1","-1","89.1","27.7","-1","-1","-1","-1","50221","-1","-1","-1","-1","-1","-1","-1","-1","-1","114.6","15.03"
"Barbour County","AL","-2.1","26887","27457","5.7","21.2","16.5","46.6","50.2","47.6","0.6","0.5","0.2","0.9","4.5","46.6","2120","2.9","11799","67.7","89200","9200","2.66","-1","-1","73.7","13.4","-1","-1","-1","-1","32911","-1","-1","-1","-1","-1","-1","-1","-1","-1","31","866.46"
"Bibb County","AL","-1.8","22506","22915","5.3","21","14.8","45.9","76.3","22.1","0.4","0.2","0.1","0.9","2.1","74.5","1327","1.2","8978","79","90500","7091","3.03","-1","-1","77.5","12.1","-1","-1","-1","-1","36447","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.8","915.07"
"Blount County","AL","0.7","57719","57322","6.1","23.6","17","50.5","96","1.8","0.6","0.3","0.1","1.2","8.7","87.8","4540","4.3","23826","81","117100","21108","2.7","-1","-1","77","12.1","-1","-1","-1","-1","44145","-1","-1","-1","-1","-1","-1","-1","-1","-1","88.9","639.08"
"Bullock County","AL","-1.4","10764","10914","6.3","21.4","14.9","45.3","26.9","70.1","0.8","0.3","0.7","1.1","7.5","22.1","636","5.4","4461","74.3","70600","3741","2.73","-1","-1","67.8","12.5","-1","-1","-1","-1","32033","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.5","825.23"
"Butler County","AL","-3.1","20296","20947","6.1","23.6","18","53.6","53.9","44","0.4","0.9","0","0.8","1.2","53.1","1497","0.8","9916","70.3","74700","8235","2.47","-1","-1","76.3","14","-1","-1","-1","-1","29918","-1","-1","-1","-1","-1","-1","-1","-1","-1","27","424.16"
"Calhoun County","AL","-2.3","115916","118572","5.7","22.2","16","51.8","75.8","21.1","0.5","0.9","0.1","1.7","3.5","72.9","11385","2.4","53289","68.7","100600","45196","2.54","-1","-1","78.6","16.1","-1","-1","-1","-1","39962","-1","-1","-1","-1","-1","-1","-1","-1","-1","195.7","445.46"
"Chambers County","AL","-0.3","34076","34215","5.9","21.4","18.3","52.3","58.3","39.5","0.3","0.8","0.1","1.1","2","56.8","2691","1.1","16894","67.9","81200","13722","2.46","-1","-1","75.1","11.8","-1","-1","-1","-1","32402","-1","-1","-1","-1","-1","-1","-1","-1","-1","57.4","730.08"
"Cherokee County","AL","0.2","26037","25989","4.8","20.4","20.9","50.2","93","4.6","0.5","0.3","0","1.6","1.5","91.6","2174","0.7","16241","76.1","99400","11656","2.2","-1","-1","78.3","12.8","-1","-1","-1","-1","34907","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.9","657.31"
"Chilton County","AL","0.7","43931","43643","6.4","24.2","15.2","50.8","87.1","10.6","0.5","0.4","0.2","1.2","7.7","80.3","3308","5.2","19221","74.5","102600","16232","2.67","-1","-1","76","12.9","-1","-1","-1","-1","41250","-1","-1","-1","-1","-1","-1","-1","-1","-1","63","500.3"
"Choctaw County","AL","-3.9","13323","13859","4.9","20.6","20.8","52.5","56.6","42.4","0.2","0.3","0","0.5","0.8","56.1","938","0.3","7231","83.7","58200","5518","2.45","-1","-1","75.2","11.8","-1","-1","-1","-1","33941","-1","-1","-1","-1","-1","-1","-1","-1","-1","15.2","344.34"
"Clarke County","AL","-3.5","24945","25833","5.6","22.6","18","52.8","54","44.2","0.4","0.5","0","0.8","1.3","53.1","1583","0.3","12583","72.9","85600","9631","2.63","-1","-1","78.3","11.2","-1","-1","-1","-1","29357","-1","-1","-1","-1","-1","-1","-1","-1","-1","20.9","402.5"
"Clay County","AL","-2.7","13552","13932","5.3","21.6","19.4","50.6","82.8","14.5","0.6","0.3","0","1.8","3.4","79.7","1076","2.2","6736","75","79900","5649","2.38","-1","-1","76.5","9.2","-1","-1","-1","-1","34002","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.1","761.85"
"Cleburne County","AL","0.7","15080","14972","5.7","23.3","18.4","50.4","94.5","3.6","0.4","0.2","0.1","1.2","2.5","92.3","989","1.5","6690","77.6","100800","5601","2.64","-1","-1","76","9","-1","-1","-1","-1","38019","-1","-1","-1","-1","-1","-1","-1","-1","-1","26.7","571.86"
"Coffee County","AL","1.9","50909","49948","6.1","23.7","15.9","50.5","76.4","17.7","1.4","1.6","0.4","2.5","6.4","71.3","6066","5.1","22852","69.9","131000","18820","2.65","-1","-1","82.4","22.5","-1","-1","-1","-1","43768","-1","-1","-1","-1","-1","-1","-1","-1","-1","73.6","738.33"
"Colbert County","AL","0.2","54543","54428","5.7","21.7","18.5","51.8","80.8","16.3","0.6","0.5","0.1","1.7","2.6","78.8","4376","2","26192","72.1","99300","22260","2.42","-1","-1","83.5","17.7","-1","-1","-1","-1","39077","-1","-1","-1","-1","-1","-1","-1","-1","-1","91.8","594.58"
"Conecuh County","AL","-4.2","12670","13228","5.5","21.4","20.4","51.9","52.1","46.2","0.4","0.1","0","1.2","1.8","51.1","1101","0.6","7055","79.1","69600","4994","2.61","-1","-1","77.3","8.8","-1","-1","-1","-1","24658","-1","-1","-1","-1","-1","-1","-1","-1","-1","15.6","355.27"
"Coosa County","AL","-7.4","10886","11539","4.8","18.3","18.5","49.5","66.1","31.8","0.6","0.2","0.2","1.2","2.3","64.8","934","1.8","6458","83","75100","4506","2.42","-1","-1","75","9.8","-1","-1","-1","-1","37277","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.7","473.93"
"Covington County","AL","0.4","37914","37765","5.9","22.1","19.8","51.6","84.3","13","0.6","0.5","0","1.6","1.6","83.1","3433","1.4","18778","75.1","88800","15041","2.48","-1","-1","78.4","14.2","-1","-1","-1","-1","35869","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.6","730.1"
"Crenshaw County","AL","0.5","13977","13906","6.1","22.7","18","51.1","72","24","0.5","1.8","0.1","1.6","1.7","70.6","1098","2.3","6708","69.9","70800","5601","2.46","-1","-1","76.7","12.7","-1","-1","-1","-1","36275","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.8","1704.68"
"Cullman County","AL","1.1","81289","80406","5.9","22.5","17.6","50.5","96.2","1.4","0.6","0.5","0","1.2","4.4","92.1","6167","3","37131","75","106100","31342","2.53","-1","-1","79.8","14.8","-1","-1","-1","-1","38847","-1","-1","-1","-1","-1","-1","-1","-1","-1","109.4","579.65"
"Dale County","AL","-1.5","49484","50251","6.3","23.6","15.4","50.5","75.2","19.7","0.8","1.3","0.1","2.8","6.1","70.2","6730","3.7","22832","61.1","99400","19345","2.52","-1","-1","84.1","17","-1","-1","-1","-1","44889","-1","-1","-1","-1","-1","-1","-1","-1","-1","89.6","201.83"
"Dallas County","AL","-4.8","41711","43820","6.7","25.2","15.6","53.7","29","69.5","0.2","0.5","0","0.7","1","28.5","2897","0.8","20240","60.9","75700","16173","2.63","-1","-1","77.5","14.2","-1","-1","-1","-1","26519","-1","-1","-1","-1","-1","-1","-1","-1","-1","44.8","337.16"
"DeKalb County","AL","-0.1","71065","71109","6.2","24.7","15.7","50.7","92.4","2.1","2.1","0.4","0.7","2.2","14.2","80.6","4371","7.5","31035","76.3","93400","24923","2.82","-1","-1","70.6","10.7","-1","-1","-1","-1","37851","-1","-1","-1","-1","-1","-1","-1","-1","-1","91.5","1062.6"
"Elmore County","AL","2.1","80977","79303","5.9","23","14","51.5","76","21.2","0.4","0.7","0.1","1.6","2.7","73.7","8364","2.1","33326","75.5","144600","28324","2.62","-1","-1","86.6","21","-1","-1","-1","-1","54766","-1","-1","-1","-1","-1","-1","-1","-1","-1","128.2","432.7"
"Escambia County","AL","-1.5","37733","38319","6.1","22","16.7","48.8","62.2","32.4","3.4","0.3","0.1","1.7","2.1","60.6","2995","0.6","16402","72.5","84100","13681","2.59","-1","-1","76.2","11.7","-1","-1","-1","-1","30687","-1","-1","-1","-1","-1","-1","-1","-1","-1","40.5","1500.71"
"Etowah County","AL","-0.9","103531","104430","5.7","22.1","17.3","51.6","81.2","15.5","0.5","0.8","0.3","1.6","3.7","78.4","8638","2.2","47505","72.4","100000","40217","2.55","-1","-1","81.8","14.8","-1","-1","-1","-1","38013","-1","-1","-1","-1","-1","-1","-1","-1","-1","195.2","467.93"
"Fayette County","AL","-2.1","16874","17241","5.4","21.7","19.6","50.5","86.2","11.9","0.4","0.3","0","1.1","1.4","85","1221","0.6","8404","74.9","71400","6956","2.41","-1","-1","74.9","13.2","-1","-1","-1","-1","33838","-1","-1","-1","-1","-1","-1","-1","-1","-1","27.5","797.78"
"Franklin County","AL","-0.3","31601","31704","6.6","24.3","15.9","50.3","91.9","4.6","1.5","0.4","0.2","1.5","16.1","78","1860","8.4","14048","69.5","82300","12437","2.52","-1","-1","72.5","11","-1","-1","-1","-1","36415","-1","-1","-1","-1","-1","-1","-1","-1","-1","50","414.9"
"Geneva County","AL","-0.3","26712","26790","5.8","22.2","19.2","50.8","87.1","9.7","1","0.4","0.1","1.7","3.6","84.1","2336","1.8","12646","72.1","78100","10945","2.43","-1","-1","77.2","10.4","-1","-1","-1","-1","35625","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.6","423.01"
"Greene County","AL","-5.4","8553","9045","5.9","23.3","17.9","52.5","18.5","80.5","0.2","0.2","0","0.6","1","17.9","502","0.2","4988","73.2","72700","3264","2.72","-1","-1","76.2","12.8","-1","-1","-1","-1","24226","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","857.22"
"Hale County","AL","-3.7","15184","15760","6.2","23.3","17.3","52.8","40.8","58.1","0.2","0.3","0","0.6","1.3","40","995","1.2","7639","78","79900","5969","2.56","-1","-1","77.4","12.8","-1","-1","-1","-1","30051","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.5","475.7"
"Henry County","AL","-0.6","17190","17302","5.5","21.2","20.8","51.8","70.4","27.3","0.3","0.7","0","1.2","2.6","68.4","1497","2.9","8961","77.7","97000","7001","2.44","-1","-1","80.1","16.6","-1","-1","-1","-1","41650","-1","-1","-1","-1","-1","-1","-1","-1","-1","30.8","11197.52"
"Houston County","AL","2.6","104193","101547","6.2","23.7","16.1","52.1","70","26.7","0.5","0.9","0.1","1.8","3.3","67.3","9254","2.4","46442","64.6","122300","39250","2.58","-1","-1","83.9","19.7","-1","-1","-1","-1","40948","-1","-1","-1","-1","-1","-1","-1","-1","-1","175.1","497.29"
"Jackson County","AL","-1.1","52665","53227","5.4","21.7","18.6","50.7","91.5","3.6","1.6","0.5","0.1","2.6","2.9","89.4","4000","2.2","24755","75.2","93400","20765","2.53","-1","-1","74.6","13","-1","-1","-1","-1","37634","-1","-1","-1","-1","-1","-1","-1","-1","-1","49.4","507.08"
"Jefferson County","AL","0.4","660793","658466","6.6","23.1","14.3","52.8","54","42.9","0.3","1.6","0.1","1.1","3.8","50.8","46613","4.1","305040","64.7","140800","259634","2.48","-1","-1","87.4","30","-1","-1","-1","-1","45429","-1","-1","-1","-1","-1","-1","-1","-1","-1","592.5","333.49"
"Lamar County","AL","-3.3","14086","14564","5","21.7","20.5","51.2","87.1","11.3","0.2","0.1","0","1.4","1.4","85.8","1127","0.6","7326","71.5","66800","6084","2.32","-1","-1","76.1","9.5","-1","-1","-1","-1","36028","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.1","252.07"
"Lauderdale County","AL","0.4","93096","92709","5.2","20.5","18.2","52.1","86.7","10.4","0.5","0.9","0.1","1.5","2.4","84.7","7000","2.1","44353","69.9","114300","38458","2.36","-1","-1","83.8","21.1","-1","-1","-1","-1","42844","-1","-1","-1","-1","-1","-1","-1","-1","-1","138.8","798.1"
"Lawrence County","AL","-2.5","33477","34339","5.3","21.7","16.8","51.3","78.1","11.4","5.8","0.2","0","4.4","2.2","76.4","1891","1","15171","80.1","94200","13382","2.52","-1","-1","77.1","11.9","-1","-1","-1","-1","38551","-1","-1","-1","-1","-1","-1","-1","-1","-1","49.7","903.11"
"Lee County","AL","9.9","154255","140247","5.8","21.6","10.3","50.7","70.9","23.7","0.4","3.3","0.1","1.5","3.9","67.7","10045","5.1","65566","61.7","146900","55864","2.49","-1","-1","86.7","32.5","-1","-1","-1","-1","43542","-1","-1","-1","-1","-1","-1","-1","-1","-1","230.8","1350.18"
"Limestone County","AL","9.7","90787","82782","5.9","23.4","13.8","49.7","82","13.5","0.8","1.4","0.2","2.1","5.8","77.2","6964","4.3","35445","76.6","134500","31794","2.56","-1","-1","81.5","22.7","-1","-1","-1","-1","48619","-1","-1","-1","-1","-1","-1","-1","-1","-1","147.8","363.19"
"Lowndes County","AL","-6.4","10580","11299","6.7","23.1","17.4","52.3","25.8","72.9","0.3","0.2","0","0.8","1.2","25.3","626","0.2","5089","74.9","71400","4212","2.61","-1","-1","73.9","14.4","-1","-1","-1","-1","26230","-1","-1","-1","-1","-1","-1","-1","-1","-1","15.8","988.77"
"Macon County","AL","-9.4","19425","21452","4.7","18.3","16.8","54.2","16.7","81.5","0.2","0.3","0","1.4","1.5","16.2","1662","1.1","10217","65.7","75700","8107","2.29","-1","-1","80","19.6","-1","-1","-1","-1","30724","-1","-1","-1","-1","-1","-1","-1","-1","-1","35.2","25.97"
"Madison County","AL","4.6","350299","334811","5.8","22.4","13.7","51.2","69.4","24.6","0.8","2.6","0.1","2.5","4.7","65.5","34203","5.4","154452","69.3","164500","132975","2.5","-1","-1","90","38.5","-1","-1","-1","-1","58434","-1","-1","-1","-1","-1","-1","-1","-1","-1","417.7","653.2"
"Marengo County","AL","-4.4","20110","21027","6","23","18.6","53.2","47.4","51","0.3","0.3","0.2","0.8","2.4","45.6","1462","0.7","10207","71.3","89600","8464","2.42","-1","-1","83.7","17.4","-1","-1","-1","-1","35079","-1","-1","-1","-1","-1","-1","-1","-1","-1","21.5","909.11"
"Marion County","AL","-1.6","30271","30776","5.4","21.2","20.1","50.4","93.9","4.2","0.3","0.3","0.1","1.2","2.5","91.7","2287","1","14704","75.9","78700","12700","2.34","-1","-1","74.6","9.5","-1","-1","-1","-1","32888","-1","-1","-1","-1","-1","-1","-1","-1","-1","41.5","6671.33"
"Marshall County","AL","1.7","94636","93019","6.6","24.5","16.3","50.9","93.7","2.7","1.1","0.7","0.3","1.6","12.9","82.3","7192","8","40328","71.9","114000","34250","2.7","-1","-1","76.2","15.2","-1","-1","-1","-1","39526","-1","-1","-1","-1","-1","-1","-1","-1","-1","164.4","715.36"
"Mobile County","AL","0.5","415123","412992","6.7","24","14.5","52.2","60.1","35.3","1","2","0.1","1.5","2.8","57.8","33586","3.2","181611","66.6","124300","155178","2.6","-1","-1","83.9","20.7","-1","-1","-1","-1","43028","-1","-1","-1","-1","-1","-1","-1","-1","-1","335.9","289.98"
"Monroe County","AL","-4.9","21947","23068","5.5","23.4","17.9","52.6","55.5","41.1","1.3","0.4","0","1.6","1.2","54.7","1237","0.9","11274","74","76900","8333","2.71","-1","-1","76.1","10.6","-1","-1","-1","-1","29203","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.5","422.95"
"Montgomery County","AL","-1.4","226189","229363","6.8","24","13.3","52.6","38.9","56.7","0.3","2.6","0.1","1.3","3.4","36.3","20008","4.3","103434","61.4","122900","88844","2.49","-1","-1","85.6","31.5","-1","-1","-1","-1","44790","-1","-1","-1","-1","-1","-1","-1","-1","-1","292.5","1045.04"
"Morgan County","AL","0.1","119607","119490","6","23.1","15.9","50.8","83.5","12.5","1.1","0.7","0.1","2","7.9","76.6","9518","5.1","51496","71.5","120500","46192","2.55","-1","-1","81.4","19.9","-1","-1","-1","-1","44800","-1","-1","-1","-1","-1","-1","-1","-1","-1","206.3","925.35"
"Perry County","AL","-7.1","9826","10591","5.5","22.4","17.9","53.4","31.1","67.5","0.2","0.4","0.1","0.7","1.3","30.3","670","0.5","4691","67","58000","3400","2.84","-1","-1","70.2","10.4","-1","-1","-1","-1","28209","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.7","701.93"
"Pickens County","AL","3.1","20365","19746","5.2","20.5","17.8","50.6","58.1","40.2","0.2","0.3","0.4","0.9","4.1","54.7","1610","0.3","9441","72","81900","7926","2.42","-1","-1","79.7","11","-1","-1","-1","-1","28741","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.4","636.21"
"Pike County","AL","1.5","33389","32899","5.7","19.4","14.1","51.9","58.5","36.9","0.7","2.2","0.1","1.6","2.2","57.1","2516","4","15807","57.8","101000","12959","2.4","-1","-1","81","23","-1","-1","-1","-1","33090","-1","-1","-1","-1","-1","-1","-1","-1","-1","48.9","338.66"
"Randolph County","AL","-1.6","22539","22913","5.7","22","19.6","51.4","77.6","20.2","0.5","0.3","0.1","1.4","2.9","75","1598","1.7","11928","72.3","88600","9013","2.48","-1","-1","72.6","11.1","-1","-1","-1","-1","35213","-1","-1","-1","-1","-1","-1","-1","-1","-1","39.5","1219.54"
"Russell County","AL","12.6","59608","52947","7.6","25.3","12.5","51.3","53.1","42.9","0.6","0.8","0.2","2.4","5","49.5","5977","2.2","26787","61.3","104400","21142","2.6","-1","-1","80.4","16","-1","-1","-1","-1","36143","-1","-1","-1","-1","-1","-1","-1","-1","-1","82.6","431.17"
