"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Abbeville County","SC","21.4","20.3666666666666","4.93333333333333","14.4666666666666","80.0666666666666","943","0.3","0.4","27.8333333333333","1.46666666666666","0","1.33333333333333","70.0333333333333","68.8666666666666","75.4666666666666","9713","12162","90936","2.47","37807","15095","1.53333333333333","460.376666666666","1.53333333333333","59.9333333333333","399216.333333333","18.4","51.5666666666666","1688","24521","25417","51.8","8335","60911","963","359","459","211","719","123","807"
"Acadia Parish","LA","15.0333333333333","26.1","6.96666666666666","12.2666666666666","76.7","3019","0.366666666666666","0.333333333333333","18.1","2.6","0","1.5","79.6666666666666","77.4666666666666","70.8333333333333","22335","26387","108200","2.73999999999999","41459","15411","1.23333333333333","737.01","6.33333333333333","59.5333333333333","-1","18.9333333333333","51.2333333333333","2933","59214","61773","94.3","35135","401823","3107","1007","1751","467","2487","255","2671"
"Accomack County","VA","23.5","20.7666666666666","5.73333333333333","18.7333333333333","80.3333333333333","1591","0.7","0.766666666666666","28.5666666666666","9.03333333333333","0.2","1.66666666666666","68.1333333333333","60.3","67.7","13737","21233","165732","2.31666666666666","43824","17343","7.46666666666666","299.333333333333","7.33333333333333","61.6666666666666","445287.666666666","14.9333333333333","51.3","2823","33281","33164","73.8","35711","232127","1995","531","1143","223","1703","139","1687"
"Ada County","ID","14.1333333333333","23.8333333333333","5.8","37.6666666666666","94.6666666666666","27639","0.8","2.66666666666666","1.36666666666666","8.23333333333333","0.2","2.9","92.0666666666666","84.7","68.8999999999999","166100","184155","241732","2.58666666666666","62598","23279","5.83333333333333","1082.40333333333","5.46666666666666","55.4666666666666","-1","13.4666666666666","49.9","29679","472056","392365","372.8","508731","3844451","27859","9771","12939","2063","24467","2535","23419"
"Adair County","IA","22.7","21.9","5.33333333333333","17.7666666666666","93.0333333333333","403","0.266666666666666","0.5","0.533333333333333","2.23333333333333","0","1.06666666666666","97.6666666666666","95.6666666666666","75.2333333333333","3235","3702","100032","2.19999999999999","51536","20547","1.43333333333333","633.296666666666","1.8","57.0666666666666","-1","16.4","50.4333333333333","594","7482","7682","13.5","-1","41999","607","199","331","-1","571","123","451"
"Adair County","KY","18.2666666666666","20.2666666666666","5.3","15.1","77.6333333333333","1079","0.3","0.366666666666666","2.93333333333333","2.1","0.1","1.4","94.8999999999999","93.1666666666666","75.6333333333333","7065","8588","90464","2.52","36188","14127","1.36666666666666","548.823333333333","1.4","59","102069.666666666","17.2666666666666","50.3333333333333","1198","19004","18656","46","-1","136195","1147","227","715","51","1075","95","987"
"Adair County","MO","14.6","18.0999999999999","5","29.8666666666666","88.9666666666666","1091","0.366666666666666","2.46666666666666","2.9","2.6","0.1","1.93333333333333","92.2333333333333","90.0666666666666","60.1333333333333","9388","11543","118732","2.40333333333333","39529","15231","3.53333333333333","619.846666666666","3.6","49.7333333333333","188104.333333333","10.8666666666666","51.9666666666666","1315","25410","25607","45.1","-1","224155","1447","303","887","39","1315","195","1103"
"Adair County","OK","15.3666666666666","26.9333333333333","7.2","11.9666666666666","79.6666666666666","919","45.4","0.733333333333333","0.566666666666666","6.76666666666666","0.0666666666666666","10.3","42.9333333333333","40.2333333333333","69.8","7838","9347","83500","2.82666666666666","33980","11347","2.03333333333333","845.223333333333","5.2","59.8","323341.666666666","17.4666666666666","49.9","1411","20394","22683","39.6","4811","82231","1239","411","651","511","643","71","1147"
"Adams County","CO","10.3333333333333","26.6333333333333","7.13333333333333","23.1666666666666","83","24395","2.23333333333333","4.36666666666666","3.9","40.1333333333333","0.2","3.1","86.1333333333333","49.9666666666666","66","161899","174427","267264","2.97666666666666","66222","20207","15.1666666666666","968.723333333333","19","56.1333333333333","4874234.33333333","19.5333333333333","49.4666666666666","27086","506618","441603","378.2","470559","3699155","22963","8371","12263","7275","14675","2315","19659"
"Adams County","IA","23.1333333333333","21.0666666666666","5.7","14.9666666666666","92.6666666666666","227","0.466666666666666","0.666666666666666","0.466666666666666","1.3","0","0.766666666666666","97.5333333333333","96.3666666666666","80.6333333333333","1649","2010","86732","2.20666666666666","48127","18959","0.6","392.136666666666","0.666666666666666","58.8","-1","13.8666666666666","50.0333333333333","301","3763","4029","9.5","-1","14215","187","39","103","-1","171","23","139"
