"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Abbeville County","SC","20.9","20.65","5.05","13.8999999999999","79.25","707","0.3","0.4","27.95","1.4","0","1.29999999999999","69.95","68.85","75.7","9737","12122","91002","2.475","37342","11321","1.4","445.325","0.899999999999999","44.7","299412","13.55","51.55","1752","24632","25417","51.8","6251","45683","722","269","344","158","539","92","605"
"Acadia Parish","LA","14.65","26.25","7","11.75","75.55","2264","0.35","0.35","18.15","2.5","0","1.45","79.65","77.55","70.6999999999999","22383","26253","103300","2.73","40491","11558","1.2","777.954999999999","4.5","44.4","-1","13.95","51.3","3054","60032","61773","94.3","26351","301367","2330","755","1313","350","1865","191","2003"
"Accomack County","VA","22.95","20.7999999999999","5.8","18.35","79.75","1193","0.7","0.75","28.45","9","0.2","1.65","68.3","60.5","68.15","13886","21192","162699","2.3","42700","13007","7.35","224.25","5.25","46","333965.5","10.95","51.3","2931","33216","33164","73.8","26783","174095","1496","398","857","167","1277","104","1265"
"Ada County","ID","13.75","24.15","5.9","37.25","94.4","20729","0.8","2.65","1.35","8.1","0.2","2.85","92.15","84.9","68.6999999999999","162475","179920","227199","2.59","60751","17459","5.85","1097.315","3.84999999999999","41.35","-1","9.85","49.9","29558","460601","392365","372.8","381548","2883338","20894","7328","9704","1547","18350","1901","17564"
"Adair County","IA","22.55","21.95","5.19999999999999","17.4","92.45","302","0.25","0.5","0.5","2.1","0","1","97.8","95.9499999999999","75.6999999999999","3250","3695","97749","2.215","50625","15410","1.35","665.31","1.1","42.55","-1","12.05","50.55","643","7475","7682","13.5","-1","31499","455","149","248","-1","428","92","338"
"Adair County","KY","17.7999999999999","20.45","5.35","14.8","76.65","809","0.3","0.35","2.95","2.05","0.1","1.35","94.9499999999999","93.25","75.4","7109","8567","87498","2.5","35272","10595","1.25","620.595","0.799999999999999","44","76552","12.7","50.4","1243","19054","18656","46","-1","102146","860","170","536","38","806","71","740"
"Adair County","MO","14.35","18.2","4.9","29.3","88.4","818","0.35","2.4","2.65","2.6","0.1","1.9","92.6","90.4","60.15","9453","11493","114699","2.38","38330","11423","3.25","646.11","2.45","37.05","141078","7.9","51.95","1384","25458","25607","45.1","-1","168116","1085","227","665","29","986","146","827"
"Adair County","OK","15.15","26.9","7.1","12.1499999999999","79.1","689","45.05","0.7","0.55","6.6","0.05","10.3","43.35","40.65","70.05","7890","9315","81450","2.80999999999999","33624","8510","2.15","981.095","3.65","44.6","242506","12.8499999999999","49.85","1481","20842","22683","39.6","3608","61673","929","308","488","383","482","53","860"
"Adams County","CO","10.1499999999999","26.9","7.25","22.6","82.6","18296","2.2","4.3","3.85","39.8","0.2","3.05","86.35","50.45","65.9","159625","172381","247098","2.965","63734","15155","15.1","869.26","14","41.85","3655675.5","14.4","49.5","27230","500143","441603","378.2","352919","2774366","17222","6278","9197","5456","11006","1736","14744"
"Adams County","IA","22.85","21.15","5.9","14.6499999999999","92.1","170","0.45","0.649999999999999","0.45","1.25","0","0.75","97.6","96.5","80.1","1673","2010","86349","2.205","47563","14219","0.6","376.485","0.25","43.85","-1","10.15","50","314","3791","4029","9.5","-1","10661","140","29","77","-1","128","17","104"
"Adams County","ID","27.4","17.15","4.05","21.5499999999999","91.5","179","1.2","0.7","0.3","3.4","0.25","2.2","95.35","92.6","80.9499999999999","1731","2669","182999","2.28","42145","14012","1.1","1267.08","1.25","40.3","-1","11.8999999999999","48.55","539","4119","3976","2.9","-1","-1","158","41","53","-1","137","-1","134"
"Adams County","IL","19.7","22.55","6.25","23.15","91.1","1958","0.25","0.85","3.8","1.6","0","1.9","93.1999999999999","91.9","71.9","27011","30105","115999","2.405","49033","15170","1.45","1079.67","0.55","43.95","-1","8.15","50.9","5190","66364","67103","78.5","51605","533261","2534","623","1307","134","2270","236","2078"
"Adams County","IN","15.15","31.35","9.35","15.1","84.5","1646","0.3","0.35","0.5","4.45","0","0.8","98","93.85","78","12304","13248","122700","2.795","49599","11657","0.8","366.19","6.9","43.35","1100276","10.45","50.25","1604","35298","34387","101.4","13826","188612","1748","428","1040","47","1613","98","1565"
"Adams County","MS","18.15","20.5499999999999","5.75","17.45","78.35","1199","0.45","0.55","53.4","9.05","0","1","44.5","36.55","65.2","11664","14674","86498","2.55","28656","9191","6.2","588.995","4.05","45.65","77518","10.65","48.75","1758","30639","32297","69.8","44642","244373","1661","563","896","548","1055","206","1361"
