"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Adams County","ND","26.85","19.3","5.4","24.4","93.75","89","0.7","1.8","0.85","1.4","0","1.7","94.9","93.55","73.5","1068","1412","113749","2.105","52238","16727","1.65","3163.985","1.4","45.7","-1","6.8","50.9","183","2294","2343","2.4","-1","21566","164","65","62","-1","155","-1","152"
"Adams County","NE","17.7","23.4","6.35","22.35","90.35","1124","1.1","1.5","1.15","9.9","0.1","1.25","94.9","86.25","68.15","12644","13814","113249","2.36","51231","14363","5.45","554","3.8","41.95","929472","7.9","50.05","2175","31331","31364","55.7","26489","226628","1460","410","689","98","1283","158","1178"
"Adams County","OH","17.55","24.15","6.1","11.8999999999999","78.45","893","0.55","0.3","0.55","0.9","0","1.45","97.25","96.4","72","10747","12884","99098","2.58","37376","11180","0.35","1487.345","0.35","44.15","51835","17.8","50.55","1868","27805","28550","48.9","10700","112445","1121","332","635","35","1064","101","965"
"Adams County","PA","19.7","20.2","5","21.35","87.4","3347","0.4","0.9","1.95","6.94999999999999","0","1.4","95.3","89.2","77.35","38741","42016","201998","2.525","63371","15794","4.1","423.689999999999","2.64999999999999","44.05","1074329","13.65","50.75","8349","102782","101407","195.5","92837","400619","3722","1199","2108","98","3491","422","3071"
"Adams County","WA","10.75","35.5999999999999","10.1","14.15","66.3","416","5.6","1.45","1.8","63.35","0.1","1.6","89.55","34.05","64.5","5855","6508","144049","3.23","46110","10121","24.75","961.99","27","42.85","-1","8.8","49","706","19896","18728","9.7","9347","78905","581","179","305","194","356","53","491"
"Adams County","WI","28.65","14.5","3.55","13","86.4","569","1.15","0.55","3.05","4.05","0.05","1.29999999999999","93.9","90.4499999999999","84.3","8668","17639","133350","2.215","45632","13619","3.15","322.325","1.95","43.45","-1","13.45","46.5999999999999","2248","20434","20875","32.3","27545","96149","575","170","347","20","542","107","422"
"Addison County","VT","18.7999999999999","17.35","4.25","37.6","92.1","1961","0.25","1.8","1.15","2.25","0","1.95","94.75","92.9","75.05","14374","17313","242099","2.36","63193","17369","4.44999999999999","382.665","2.5","42.85","-1","12","50","2325","37186","36821","48","27596","268454","2417","692","1220","50","2267","185","2075"
"Aiken County","SC","18.7","21.75","5.7","25.2","86.4","5603","0.55","1.05","25.2","5.65","0.1","2.05","71.05","66.4","72.9499999999999","65491","76276","135949","2.475","47953","14195","3.95","759.085","2.7","43.5","2319668","12","51.6","13640","166778","160099","149.5","-1","874724","6068","2213","3296","1244","4598","872","4853"
"Aitkin County","MN","31.95","17","3.9","16.4","90.6","563","2.75","0.3","0.5","1.29999999999999","0","1.6","94.85","93.9499999999999","82","7711","16633","175948","2.035","45484","14636","1.05","1336.13999999999","0.85","45.15","31032","13.3999999999999","49.45","1918","15735","16202","8.9","9401","86645","722","134","347","-1","656","65","593"
"Alachua County","FL","13.55","18","5.35","41.9","91.9","9863","0.35","6.05","20.55","9.8","0.1","2.75","70.25","61.6","54.55","97018","117141","177299","2.49","45917","14321","10.6","570.329999999999","6.6","38.45","-1","10.7","51.75","16091","267423","247336","282.7","-1","1604345","10052","3587","5162","2405","7166","1106","8378"
"Alamance County","NC","16.6","22.45","5.85","23.25","84.65","5306","1.45","1.65","20.2","12.6","0.1","2.09999999999999","74.55","64.3","66.15","62287","70463","145898","2.46","46364","13655","7.75","430.69","5.8","42.45","1569175","11.6","52.4","9954","163601","151131","356.5","127211","1054205","5492","1901","2969","1139","4145","599","4568"
"Alameda County","CA","13.4","20.85","5.9","44.5999999999999","87.4","75221","1.1","30.5999999999999","11.55","22.5","0.95","5.3","50.5","31.7","53.35","561124","607637","631548","2.79","85759","23654","31.65","548.375","22.3","43.1","-1","16.65","50.85","56172","1646636","1510271","2043.6","1596209","10450505","75281","28652","38192","37511","34649","5105","67013"
"Alamosa County","CO","13.25","24.0499999999999","7","24.6","85.8","581","5.5","1.65","1.85","46.55","0.3","3.1","87.65","48.3","59.65","6026","6921","147398","2.47499999999999","36017","11063","7.9","666.865","14.55","40.55","6915.5","6.8","49.85","956","16276","15445","21.4","17696","140342","836","269","401","254","521","38","743"
"Albany County","NY","16.35","18.6","5","40.3","92.1","9755","0.3","6.3","13.8999999999999","6","0.1","2.7","76.6999999999999","72.6999999999999","57.8499999999999","124620","140572","215900","2.32","62823","18815","10","505.09","6.1","41.95","1773680.5","9.95","51.65","16713","311507","304204","581.9","433292","2881385","11954","3560","7253","1610","9647","1007","10109"
"Albany County","WY","11","16.3","4.85","49.9","95.6","1364","1.1","3.5","1.9","9.55","0.1","2.5","90.9499999999999","82.65","51.15","15599","19131","218249","2.255","46047","14570","6.35","2136.42","4.9","33.2","-1","5.85","47.95","2307","37439","36299","8.5","39776","239774","1697","623","731","137","1433","113","1403"
"Albemarle County","VA","17.9","20.35","5.35","53.65","91.75","4964","0.4","5.2","9.8","5.75","0.1","2.55","82.05","77.2","64.6999999999999","39728","45502","337650","2.445","73800","22397","10.1","359.85","5.35","39.6","393190","10.5","52.15","6772","108440","98970","137.3","115283","748754","5528","1982","2855","617","4682","650","4466"
"Alcona County","MI","35.45","12.8999999999999","3.05","14.95","88.1","317","0.7","0.35","0.4","1.55","0.05","1.15","97.25","95.8","89.3","4923","11137","107399","2.12","38836","12815","1.4","497.51","0.6","44.9","13766.5","12.4","49.75","1516","10313","10942","16.2","1964","26240","464","137","260","-1","452","20","434"
"Alcorn County","MS","17.95","23.15","6","17.25","79.9","1232","0.35","0.4","12.45","3.15","0","1.15","85.6","82.8","69.9","14664","17217","93498","2.495","37842","11954","1.4","425.98","0.85","43.15","546336","10.7","51.2","2068","36060","37057","92.6","27671","268991","1598","524","776","131","1361","140","1268"
"Aleutians East Borough","AK","8.55","8.85","2.4","11.75","82","107","20.35","42.05","11.1","14","0.899999999999999","3.65","21.95","10.3","59.25","660","750","119199","2.535","65249","16967","41.85","3818.52999999999","16.4","41.3","-1","2.1","31.7","120","3390","3141","0.4","-1","-1","149","11","101","107","23","-1","137"
"Aleutians West Census Area","AK","6.4","11.85","3.45","15.15","86.1","107","12.55","37.3","7.35","14.05","2.4","4.5","35.8499999999999","25.25","32.3","1108","1947","248799","3.63","84658","19823","38.25","2419.89","28.6","39.65","299257","3.5","33.2","321","5492","5561","1.3","7115","26711","170","32","113","77","77","-1","146"
"Alexander County","IL","20.65","22.5499999999999","5.95","10.65","80.55","125","0.5","0.3","34.2","2","0.15","2.3","62.6","61.25","69.75","2509","3956","55198","2.735","31889","9758","0.8","531.935","-0.1","44.4","-1","14.65","50.55","588","6367","8238","35","1079","12101","260","137","74","98","146","41","203"
"Alexander County","NC","19.65","20.45","5","12.95","80.85","1184","0.45","1.05","5.9","4.6","0.05","1.5","91","87","76.6","14134","16389","128899","2.55","44696","13343","2.95","504.125","2.5","44.65","295733.5","11.75","49.1","2282","36918","37198","143.1","-1","97382","1451","314","1013","47","1370","224","1160"
"Alexandria city","VA","10.7","18","7.3","62.25","92.1","-1","0.5","6.4","22.2","16.65","0.05","4.2","64.3","52.0999999999999","43.3","67982","37664","524799","2.19","93320","31337","26.75","7.015","16.25","39","136523","15.45","51.7","11014","155021","139966","9314.3","323732","1208006","8768","3440","4625","3149","5156","887","7400"
"Alfalfa County","OK","19.05","19.5","5.05","21.6","85.65","191","4.15","0.4","4.5","5.5","0.1","2.75","88.1","83.9","78.65","1953","2731","74150","2.4","53331","13805","2.5","10461.6999999999","2.25","42.75","-1","9.6","40.0999999999999","553","5745","5642","6.5","1529","28568","257","65","116","20","224","17","212"
"Alger County","MI","25","15.2","3.59999999999999","17.25","89.65","284","4.25","0.5","7.1","1.5","0","3.1","85.1","84","84.45","3307","6653","126649","2.52","41576","10424","1.2","694.225","0.25","41.75","-1","12.15","44.85","974","9153","9601","10.5","8375","32318","401","119","161","29","335","23","320"
"Allamakee County","IA","22.4","23","6.55","16.35","88.65","569","0.649999999999999","0.5","1.5","6.4","0.3","0.85","96.25","90.75","79.4","5907","7752","122398","2.315","50523","13943","4.8","673.145","5.15","44.1","131044","11.1499999999999","48.9","1090","14047","14330","22.4","4850","72311","647","245","296","-1","620","26","590"
"Allegan County","MI","16.05","24.35","6.05","21.4","90.45","4160","0.75","0.85","1.5","7.3","0","1.85","95.05","88.4499999999999","82.25","42604","50873","152800","2.645","57512","14606","3.2","543.589999999999","2.5","45","2643279.5","11.45","50.05","6308","117174","111408","135","65945","474959","4916","1469","2681","260","4538","344","4340"
"Allegany County","MD","19.9","17.45","4.65","17.85","88.75","1466","0.2","1.05","8.25","1.75","0.1","1.95","88.5","87.05","69.3","27917","32982","121000","2.325","42593","11801","2","1344.36","1.5","41.8","-1","10.4","47.8499999999999","5887","70531","75087","177","-1","461417","2159","686","1196","155","1868","206","1799"
"Allegany County","NY","18.35","20.4","5.19999999999999","19.9","89.55","1262","0.3","1.3","1.35","1.65","0","1.35","95.6999999999999","94.4499999999999","74.75","18369","26209","72999","2.325","45427","12428","2.3","914.994999999999","1.95","43.4","420884.5","10.5","49.3","3909","47097","48946","47.6","25013","135536","1352","458","725","92","1211","119","1148"
"Alleghany County","NC","26.25","17.55","4.44999999999999","17.8","78.45","476","0.5","0.8","1.85","9.7","0","1.4","95.4","86.85","76.3","4856","8175","147952","2.235","36499","11633","5.9","238.23","3.3","45.5","-1","11.65","50.3499999999999","817","10882","11155","47.5","5417","33944","563","137","353","59","476","35","488"
"Alleghany County","VA","24.9","18.7","4.35","15.7","84.35","320","0.25","0.4","4.75","1.5","0.1","1.7","92.85","91.6","78.05","6689","8030","117150","2.295","46258","13667","1.35","222.23","0.399999999999999","45.15","-1","12.3","50.95","1240","15523","16250","36.5","7022","37571","446","92","296","17","410","50","374"
"Allegheny County","PA","18.35","18.8","5.25","38.75","93.75","42848","0.2","3.8","13.4","2.09999999999999","0","2.15","80.45","78.85","64.9","533771","596981","138549","2.22499999999999","56202","19352","5.45","775.925","3.25","42.45","8139735.5","13.1","51.7","83537","1240915","1223348","1675.6","1470287","10276871","48248","15335","28061","6050","40106","4955","40586"
"Allen County","IN","14","25.95","7.1","27.4","89.2","12170","0.5","4.05","12.05","7.45","0.1","3","80.25","74","69.1","141638","157582","120998","2.54","52112","14579","6.45","824.724999999999","5.05","41.95","8100070","10.3","51.15","21724","375662","355329","540.6","321554","2598833","14282","4766","7778","2315","11366","1439","12098"
"Allen County","KS","20","22.75","5.75","18.2","90.25","401","0.95","0.85","2.2","3.55","0","2.75","93.1","90.3","72.85","5439","6301","71298","2.30499999999999","42942","11864","1.3","428.039999999999","0.7","42.55","235448","8.4","50.95","1035","12720","13371","26.7","6596","76391","746","173","335","47","674","26","644"
"Allen County","KY","17.1","23.45","6.1","14.4","79.25","749","0.3","0.3","1.2","2.15","0","1.29999999999999","96.9","95","74.3","7833","9422","108698","2.59","42021","11144","1.65","480.74","2.7","44.4","-1","12.15","50.5","1277","20486","19956","58","-1","55628","620","164","380","-1","599","50","539"
"Allen County","OH","17","23.15","6.1","18.0499999999999","89.35","2681","0.3","0.8","12.45","3.05","0","2.95","83.45","81.05","67.85","40600","45014","111549","2.47499999999999","47977","13379","1.55","735.96","1.04999999999999","42.2","7635196","9.35","49.55","7382","103624","106331","264.2","105662","820760","3623","1088","1970","305","3053","392","2936"
"Allen Parish","LA","14.25","22.45","6.2","11.2","78.15","584","2.4","0.7","22.95","2.2","0","1.79999999999999","72.05","70.55","73.4","8012","9919","88549","2.675","42437","10481","4.6","844.55","4.45","41.3","-1","13.5","43.4","1479","24234","25764","33.8","-1","78779","584","203","326","95","461","89","467"
"Allendale County","SC","18.6","19.25","5","12.1","75.85","218","0.35","0.75","72.85","3.3","0.05","0.85","25.15","22.8","65.85","3397","4475","57300","2.49","26218","8492","1.54999999999999","528.035","1.5","44.55","223476.5","13.8","47.05","583","8867","10419","25.5","-1","16949","335","137","164","218","101","32","284"
"Alpena County","MI","22.7","19.0499999999999","4.75","17","89.95","935","0.6","0.6","0.45","1.4","0.05","1.25","97","95.75","77.75","12827","16012","96448","2.215","40689","12977","1.35","700.569999999999","1","42.85","240150","7.85","50.75","2680","28949","29598","51.8","17570","224408","1160","398","536","17","1064","92","893"
"Alpine County","CA","23.75","18.85","3.8","32.85","90.8","50","25.2","1.45","0.35","10.95","-0.5","3.9","69.1","63","82.75","373","1771","349449","2.885","61192","18368","4.44999999999999","477.1","4.35","44.95","-1","8.55","47.05","129","1158","1175","1.6","-1","287","62","23","-1","-1","56","-1","56"
"Amador County","CA","26.3","15.2","3.9","19.3","89.05","1415","2.25","1.54999999999999","2.4","13.75","0.25","3.34999999999999","90.15","78.4499999999999","76.3","14427","18435","292100","2.34999999999999","58226","15992","5.85","500.505","4.8","43.35","69815","15.85","46.25","4223","38608","38091","64.1","121010","160748","1403","458","689","128","1226","128","1181"
"Amelia County","VA","19.15","20.95","5.4","15.55","81.4","434","0.6","0.85","21.15","3.15","0.05","1.7","75.65","73.35","82.15","4880","5550","191050","2.605","55414","15842","1.2","177.135","1.4","44.4","49209.5","19.45","51","1031","13059","12690","35.7","2522","35528","446","167","221","77","347","32","386"
"Amherst County","VA","20.25","19.55","5.1","18.25","82.35","797","0.9","0.55","19.1","2.3","0","2.3","77.1","75.15","75.6","12422","14172","152150","2.48","48914","13355","1.8","236.465","0.899999999999999","43.2","286011","13.15","51.8","2557","31675","32353","68.3","-1","136682","1058","404","545","197","815","92","908"
"Amite County","MS","22.55","20.7","5.6","12.1","78.3","407","0.3","0.15","40.45","1.15","0","0.85","58.25","57.5999999999999","85.1","5215","6746","76948","2.425","32364","10781","0.4","583.695","0","47.45","24147.5","19.45","51.55","714","12674","13131","18","713","19613","410","149","215","155","245","53","344"
"Anchorage Municipality","AK","10.3","24.45","7.15","34.45","93.2","10487","8.64999999999999","9.6","6.15","9.15","2.59999999999999","8.1","64.9499999999999","58.4","60.95","105886","116804","298799","2.71","81189","20705","10.15","1378.63","8.4","39.6","239920","8.95","48.85","28627","296129","291826","171.2","553094","2483399","13016","4763","6467","2675","9635","1643","10532"
"Anderson County","KS","21.05","25.45","6.45","18.55","89.2","308","0.75","0.7","0.6","1.9","0.05","1.79999999999999","96.15","94.4","75.4","3206","3734","96000","2.435","45961","12152","0.4","818.93","0.6","43.25","-1","12.55","50.45","595","7862","8102","14","-1","46070","287","86","116","-1","272","44","218"
"Anderson County","KY","15.25","23.7","5.9","20.2999999999999","88.55","761","0.25","0.649999999999999","2.15","1.7","0.05","1.6","95.35","93.8","75.3","8506","9395","141048","2.575","53990","13622","1.25","364.545","0.6","41.65","373244","12.8","51.05","1342","22869","21421","106.1","10202","94439","728","221","341","35","665","104","578"
"Anderson County","SC","17.65","23","5.95","20.75","83.5","6512","0.3","0.95","16.45","3.75","0","1.65","80.55","77.4","72.3","75045","87666","134599","2.54","46220","13775","2.8","582.685","1.75","42.65","2717515","11.5","51.8","14400","198264","187126","261.6","136097","1094777","7556","2438","4325","1181","6134","1049","5984"
"Anderson County","TN","19.6","21.1","5.35","23.4","85.4","2402","0.45","1.45","4.15","2.85","0.05","2.09999999999999","91.85","89.4","68.2","30545","34945","136600","2.44","47004","14225","3.25","688.185","1.9","42.05","1111996","11.85","51.4","6568","76323","75129","222.8","63557","458048","2897","914","1586","131","2603","356","2306"
"Anderson County","TX","14.4","19.1","5.1","10.75","80.15","1508","0.7","0.85","21.7999999999999","17.6","0.15","1.6","74.85","59.0999999999999","70","16525","20383","91948","2.76","42054","8639","6.15","1812.62999999999","6.9","41.9","-1","11.2","38.8","4322","57774","58458","55","-1","286052","1553","503","800","359","1103","212","1235"
"Andrew County","MO","18.45","22.9","5.5","23.45","91","638","0.3","0.55","1","2.45","0","1.45","96.65","94.5","78.3","6727","7300","137798","2.55499999999999","56553","14666","0.8","320.78","0.7","45.55","1128","11.55","50.5","1319","17757","17291","40","2258","51875","668","176","407","-1","647","62","575"
"Andrews County","TX","9.85","30.8","8.85","13.2","72.9499999999999","722","1.5","0.8","2.1","55.6","0","1.45","94.1","40.75","76.1","5394","6197","116248","3.095","66990","15335","14.8","942.495","21.35","40.9","67948.5","11.3","48.8499999999999","825","18041","14786","9.9","10694","84908","659","197","347","233","362","71","536"
"Androscoggin County","ME","17.1","21.75","5.94999999999999","20.8","89.05","3308","0.4","0.85","4.15","1.79999999999999","0","2.25","92.25","90.8","64.4499999999999","44816","49724","156498","2.33","49214","14477","3.3","438.185","4.7","41.65","943427","11.55","50.95","9371","109288","107702","230.2","76658","909032","3746","1223","1979","152","3395","329","3128"
"Angelina County","TX","15.8","25.75","6.85","15.95","80.05","2888","0.8","1.1","15.7","21.95","0.1","1.29999999999999","81.1","60.7","66.45","30851","36724","96200","2.725","45902","11573","8.2","778.845","8.75","41.2","725779","9.8","51.15","6077","87075","86771","108.8","70766","637361","3164","959","1742","677","2351","353","2507"
"Anne Arundel County","MD","14.2","22.45","6.19999999999999","39.4","91.55","22445","0.4","4.05","17.45","7.8","0.1","3.09999999999999","74.85","68.45","74.2","204857","223418","350599","2.645","94114","23312","8.25","763.089999999999","5.2","42.1","2228440","15.2","50.5","52740","574197","537656","1295.9","782000","4379381","23498","8543","12671","4994","17666","2771","19607"
"Anoka County","MN","13.2","24.0499999999999","6.2","28.7","93.65","11957","0.85","4.65","6.4","4.45","0.1","2.75","85.3","81.55","80.75","125409","132124","212349","2.705","76275","18488","7.75","3486.295","5.25","43.8","3358110","13.3999999999999","50","21281","352874","330844","782.1","217016","1991033","13682","4325","7613","1337","12038","1493","11504"
"Anson County","NC","17.85","20.1","5.1","10.75","78.5","644","0.85","1.3","48.55","3.8","0.1","1.5","47.75","44.9","67.35","9605","11589","85298","2.46999999999999","37041","10817","2.95","703.56","2.15","44.2","196627","12.8499999999999","48.45","1729","23911","26948","50.7","8408","90626","764","296","362","296","437","77","641"
"Antelope County","NE","23.25","23.5","6.6","17.5499999999999","91.9","350","0.35","0.45","0.35","3.2","-0.5","0.649999999999999","98.2","95.3","75.35","2786","3311","78149","2.295","46713","13259","1.75","684.645","1.54999999999999","44.6","-1","7.05","50","542","6347","6685","7.8","-1","35108","425","119","179","11","398","44","344"
"Antrim County","MI","26.6","18.35","4.25","26.3","91.2","1076","1.2","0.25","0.35","2.25","0.05","1.45","96.7","94.7","86.05","9815","18022","150900","2.355","50762","15923","1.9","425.875","0.649999999999999","44.05","87496.5","11.8","50.25","2192","23348","23580","49.6","21308","84821","1265","338","656","14","1217","59","1055"
"Apache County","AZ","14.65","28.15","7.15","11.35","77.45","1298","74.25","0.45","0.75","6.5","0.1","1.7","22.85","18.5","77.7","19961","32837","71502","3.535","31992","7562","1.54999999999999","5910.05","26.4","46.4","-1","12.95","50.6","3596","68927","71518","6.4","23534","162158","1391","563","623","842","485","116","1154"
"Appanoose County","IA","22.15","22.5","5.8","17.3","89.25","440","0.3","0.55","0.8","1.85","0.1","1.4","96.9","95.4","71.75","5444","6611","79499","2.29","39685","13004","0.95","641.18","0.95","43.3","151630","10","50.55","967","12490","12887","25.9","8267","69398","692","245","272","11","656","53","575"
"Appling County","GA","16.65","24.95","6.65","11.3","75.85","596","0.55","0.8","19.65","9.65","0.2","1.3","77.5","69.25","73","6796","8513","77898","2.63999999999999","38544","10649","5.25","466.76","4.8","46.35","203671","10.95","50.05","958","18492","18236","36","9422","105632","695","191","404","146","524","92","566"
"Appomattox County","VA","20.15","21.45","5.94999999999999","17.95","84.05","479","0.3","0.4","19.2","1.54999999999999","0.05","1.9","78.15","76.85","79","5947","7252","152099","2.575","54430","14291","1.05","166.245","0.35","46.8","-1","14.25","51.5","1445","15699","14973","44.9","-1","71909","479","125","305","56","395","38","401"
"Aransas County","TX","27.75","18.15","4.65","21.7999999999999","85.25","1346","1.25","2.1","1.85","27.2999999999999","0.1","1.9","92.85","67.35","76.75","9693","15956","143848","2.44","43805","15431","7.25","488.405","9.45","41.95","-1","9.9","50.5","2634","24402","23158","91.9","25268","144440","1355","428","752","386","917","170","1139"
"Arapahoe County","CO","12.7","23.9","6.3","40.8","92","31271","1.15","6.1","11.2","19.3","0.25","3.85","77.4","60.75","63.1","232926","250534","294450","2.62","69060","20219","15","1009.71499999999","11.2","40.4","836300","13.55","50.55","41052","636944","572003","716.7","617783","4702355","30647","11228","15863","6953","22391","3059","26051"
"Archer County","TX","18.85","21.6","4.4","21.95","88.4","470","1.35","0.4","1.1","8.2","0.1","1.6","95.4","88.4","82.15","3396","4157","123250","2.56","60142","17306","3.55","646.535","2.35","45.1","-1","8.95","50.5","734","8688","9054","10","-1","12743","491","131","263","74","407","50","389"
"Archuleta County","CO","25.1","18","4.65","35.05","92","1025","3.34999999999999","1.15","0.6","18.5","0.1","2.45","92.4","76.85","72.95","5367","9312","297049","2.34","50577","15812","4.15","920.1","3.84999999999999","43.4","2479","8.55","49.75","1207","12799","12084","8.9","32423","65411","1034","302","440","104","854","125","770"
