"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Blue Earth County","MN","13.2","19.7333333333333","5.56666666666666","31.2166666666666","93.9166666666666","697","0.4","2.33333333333333","3.63333333333333","3.31666666666666","0.0166666666666666","1.7","91.9166666666666","89.0333333333333","65.6666666666666","24745","27470","162550","2.46833333333333","51184","4945","4.11666666666666","501.048333333333","0.316666666666666","12.5166666666666","656420.333333333","2.18333333333333","49.6166666666666","4069","66006","64013","85.6","23934","235518","963","251","542","41","860","82","787"
"Boise County","ID","22.1333333333333","18.2166666666666","3.26666666666666","24.6","90.05","120","1.3","0.583333333333333","0.5","3.86666666666666","0.366666666666666","2.18333333333333","95.1666666666666","91.9333333333333","79.05","3029","5398","201716","2.28833333333333","44154","5328","2.4","663.306666666666","0.0833333333333332","13.7","705.333333333333","5.5","48.3333333333333","772","6955","7028","3.7","-1","3324","115","38","61","5","107","10","97"
"Bolivar County","MS","14.1333333333333","25.4","7.36666666666666","21.6","74.4666666666666","346","0.2","0.766666666666666","64.5333333333333","2.2","0.0833333333333333","0.616666666666666","33.8666666666666","32.3666666666666","55.9333333333333","12270","14317","85600","2.61833333333333","28808","3139","1.58333333333333","3135.66166666666","-0.283333333333333","14.0333333333333","67638.3333333333","2.28333333333333","53.2333333333333","1375","33305","34145","39","6572","61858","444","177","212","233","190","27","395"
"Bollinger County","MO","18.5166666666666","22.2","5.86666666666666","10.5666666666666","79.7166666666666","124","0.733333333333333","0.2","0.433333333333333","1","0","1.05","97.5","96.65","80.7166666666666","4731","5833","98966","2.57833333333333","38789","3555","0.6","3905.81","-0.6","14.1666666666666","3925.66666666666","4.48333333333333","49.9833333333333","1058","12090","12363","20","726","12217","153","50","70","-1","144","16","121"
"Bon Homme County","SD","20.1333333333333","19.4","4.66666666666666","17.9666666666666","88.3999999999999","74","7.55","0.216666666666666","1.31666666666666","2.35","0","1.31666666666666","89.5166666666666","87.7","76.9166666666666","2506","2954","73016","2.26833333333333","43272","4021","1.06666666666666","596.266666666666","0.283333333333333","13.0499999999999","-1","2.33333333333333","41.8","639","7020","7070","12.5","390","7853","99","33","42","-1","92","8","76"
"Bond County","IL","16.9833333333333","19.3499999999999","4.53333333333333","19.7333333333333","86.7833333333333","154","0.616666666666666","0.8","6.46666666666666","3.51666666666666","0","1.35","90.7666666666666","87.7333333333333","74.9","6361","7124","106033","2.6","49684","4685","1.61666666666666","336.296666666666","-0.116666666666666","13.4666666666666","69973.3333333333","3.38333333333333","47.4333333333333","1418","17179","17768","46.7","2490","20696","189","71","90","9","167","14","157"
"Bonner County","ID","22.0666666666666","20.2","4.91666666666666","21.55","90.7166666666666","724","0.9","0.716666666666666","0.3","2.98333333333333","0.116666666666666","2.23333333333333","95.8333333333333","93.2666666666666","73.5333333333333","17412","24710","227533","2.34333333333333","42887","4652","1.98333333333333","2804.25333333333","-0.4","13.2999999999999","61565.1666666666","3.46666666666666","50.0166666666666","4620","42505","40877","23.6","10824","72998","757","236","349","32","700","100","587"
"Bonneville County","ID","12.3333333333333","31.1333333333333","8.8","26.8833333333333","90.75","1520","1.13333333333333","1.01666666666666","0.7","12.65","0.1","2.13333333333333","94.8166666666666","83.5833333333333","72.4333333333333","36683","41359","159116","2.88999999999999","52495","4777","5.55","951.138333333333","1.06666666666666","12.65","105160.5","2.38333333333333","50.35","6787","111179","104234","55.9","33052","326075","1851","492","894","117","1636","138","1567"
"Boone County","AR","19.9833333333333","22.6333333333333","6","15.5166666666666","85.7333333333333","480","0.816666666666666","0.6","0.416666666666666","2.34999999999999","0.1","1.83333333333333","96.25","94.2","72.4666666666666","15078","16932","109383","2.43333333333333","39650","4120","1.21666666666666","787.371666666666","-0.583333333333333","13.1833333333333","82274.3333333333","2.5","50.7833333333333","3243","37225","36903","62.5","-1","82210","614","183","343","15","574","75","502"
"Boone County","IA","17.3333333333333","22.4333333333333","5.55","21.1333333333333","92.3166666666666","301","0.416666666666666","0.5","1.2","2.45","0","1.11666666666666","96.7666666666666","94.55","76.0166666666666","10637","11839","119866","2.4","53855","5480","0.983333333333333","464.953333333333","-0.4","13.4666666666666","16286.8333333333","2.94999999999999","49.6333333333333","2173","26480","26306","46","2815","36205","325","122","145","4","301","40","258"
