"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Aleutians East Borough","AK","6.6","10.1","2.8","12","78.5","-1","20.5","40.7","12","13.2","0.6","3.4","22.8","11.5","54.7","435","747","118500","2.46","61250","-1","56.6","655.12","-1","-1","-1","-1","30.9","99","3360","3141","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Aleutians West Census Area","AK","5.4","12.3","3.6","13.3","82.7","-1","13","34.5","7.6","14.1","2.3","4.7","37.8","26.9","36.4","1033","1932","218400","3.52","81853","-1","34.9","449.5","-1","-1","-1","-1","32.4","354","5750","5561","1.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Anchorage Municipality","AK","8.9","24.9","7.4","32.8","92.5","-1","8.2","9.2","6.3","8.9","2.4","7.8","66.1","59.7","60.6","105208","114332","282800","2.73","77454","-1","9.4","1052.58","-1","-1","-1","-1","48.6","30292","301010","291826","171.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bethel Census Area","AK","6.6","36.1","11.1","11.7","79.5","-1","81.7","1.1","0.8","1.8","0.2","4.1","12.1","11.5","64.2","4358","5920","189600","3.9","51689","-1","1.2","569.27","-1","-1","-1","-1","48.3","909","17868","17013","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bristol Bay Borough","AK","9.7","20.1","5.2","19.4","91.7","-1","35.2","1","0","4.3","0.3","17.3","46.1","44.1","57.3","384","965","175000","2.42","79531","-1","0.6","405.28","-1","-1","-1","-1","44.3","91","957","997","2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Denali Borough","AK","8.5","18.8","4.7","28.1","88.8","-1","3.7","3.6","1.8","3.7","0.1","4.8","86","82.7","68.9","716","1760","192500","2.26","72500","-1","7.4","567.32","-1","-1","-1","-1","45.6","198","1921","1826","0.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dillingham Census Area","AK","7.9","31.9","11","17.8","83.7","-1","70.4","0.9","0.7","3.1","0.2","9.1","18.7","17.6","57.8","1339","2422","194000","3.59","54150","-1","1.5","573.48","-1","-1","-1","-1","48.6","214","4988","4847","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Fairbanks North Star Borough","AK","8","24.1","7.7","29","93.1","-1","7.3","3.1","5.4","7.7","0.5","6.3","77.3","71.3","59.2","35588","41684","212500","2.67","69223","-1","5.7","1167.65","-1","-1","-1","-1","45.9","11048","99357","97581","13.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Haines Borough","AK","16.8","19.1","3.7","30.1","96.4","-1","10.4","1.1","0.7","2.5","0","8.8","79.1","77.5","64.2","1245","1639","171900","2.01","52866","-1","5","423.44","-1","-1","-1","-1","51","282","2566","2508","1.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hoonah-Angoon Census Area","AK","16.5","19.4","5.2","26.9","88.4","-1","39.5","0.7","0.6","5.1","0.1","10.3","48.8","47.2","63.4","930","1755","200500","2.23","49545","-1","3","1363.06","-1","-1","-1","-1","46.5","172","2082","2150","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Juneau City and Borough","AK","10.6","22.1","5.9","36.7","95.5","-1","11.9","6.2","1.6","6.5","1.1","9.3","69.9","65.5","64.5","12099","13207","309900","2.58","81490","-1","6.5","855.2","-1","-1","-1","-1","48.8","2739","32406","31275","11.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kenai Peninsula Borough","AK","14.2","23.1","6.4","23.7","92.8","-1","7.3","1.4","0.8","4","0.3","5.7","84.5","81.4","72.7","21720","30698","204900","2.5","61793","-1","2.6","339.03","-1","-1","-1","-1","47.6","6137","57477","55400","3.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ketchikan Gateway Borough","AK","12.5","22.8","6.5","25.4","93.5","-1","13.8","7.5","0.9","4.9","0.2","9.1","68.4","65.2","58.5","5295","6239","265600","2.5","62519","-1","7.3","462.41","-1","-1","-1","-1","47.9","1421","13787","13477","2.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kodiak Island Borough","AK","8.6","26","8","20","89.6","-1","13","20.7","1.5","8.7","0.9","6.7","57.2","50.8","56.9","4501","5327","224500","2.97","68718","-1","14.2","563.27","-1","-1","-1","-1","46.2","1097","13986","13592","2.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lake and Peninsula Borough","AK","9","28.1","9.3","15.4","86.8","-1","63.4","0.3","1","3.2","0.3","9.9","25.1","23.6","64.4","508","1501","136400","2.83","51786","-1","1.7","583.87","-1","-1","-1","-1","47.1","79","1631","1631","0.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Matanuska-Susitna Borough","AK","9.6","27.3","7.2","21.3","92.4","-1","6.4","1.4","1.3","4.7","0.4","6.7","83.8","80.3","76.7","31123","41313","218900","2.89","71037","-1","3.4","518.67","-1","-1","-1","-1","47.5","9600","97882","88995","3.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Nome Census Area","AK","7.3","34.9","11.1","17.1","84.1","-1","74.5","1.2","0.7","2","0.1","6.3","17.3","16.5","55.1","2797","4045","142800","3.37","49974","-1","1.4","1924.98","-1","-1","-1","-1","47.6","600","9817","9492","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"North Slope Borough","AK","4.8","25.8","8.6","14.5","86","-1","52.1","5.8","1.5","3.9","1.6","5.1","33.9","32.1","48.3","1990","2586","154600","3.48","80761","-1","5.3","645.65","-1","-1","-1","-1","37.5","604","9703","9430","0.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Northwest Arctic Borough","AK","6.9","36.1","11.5","11","78.7","-1","78.8","0.9","1","2.1","0.2","6","13.1","12.1","56","1828","2704","131000","4","61607","-1","1.2","766.33","-1","-1","-1","-1","45.8","367","7717","7523","0.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Petersburg Borough","AK","13.3","22.3","6.7","25.7","95.7","-1","9.8","3.1","1.6","5.6","0.3","7.3","77.9","73.6","69.2","1643","1646","215100","2.2","63934","-1","4.6","1821.66","-1","-1","-1","-1","48.2","345","3160","3815","1.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Prince of Wales-Hyder Census Area","AK","11.4","24.1","6.5","15.7","91","-1","42.4","0.7","0.4","3.3","0.4","9","47.2","45.5","70.7","2240","3319","162500","2.49","46071","-1","1.4","875.02","-1","-1","-1","-1","45.3","492","6396","5559","1.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sitka City and Borough","AK","13.2","22.2","6.1","34.1","91.2","-1","15.9","6.6","1.1","6","0.3","9.1","67","63.6","56.2","3554","4122","323200","2.42","69405","-1","7.7","739.02","-1","-1","-1","-1","48.7","757","8900","8881","3.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Skagway Municipality","AK","10.6","13.1","5.2","24.3","95.2","-1","5","0.7","0.3","4.3","0.2","4","89.9","86.2","59.2","412","662","305600","2.23","71667","-1","8.9","722.64","-1","-1","-1","-1","47.6","47","1036","968","2.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Southeast Fairbanks Census Area","AK","12","25.6","7.7","23.1","93.1","-1","11.6","1.3","1.5","4.9","0.5","5.2","80","76.2","66.5","2326","3890","175000","2.84","56801","-1","9.1","4273.84","-1","-1","-1","-1","44.4","973","6931","7029","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Valdez-Cordova Census Area","AK","10.1","24.5","7.1","23.9","91","-1","13.5","4","0.9","4.7","0.7","6.9","74","70.7","74.5","3424","6089","177700","2.73","74878","-1","4.6","720.7","-1","-1","-1","-1","47.3","895","9488","9636","0.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wade Hampton Census Area","AK","5.2","42","13.7","5.4","76.6","-1","91.7","0.3","0.2","1.1","0","2.6","5.2","4.9","71.1","1744","2183","109300","4.39","40176","-1","0.6","674.59","-1","-1","-1","-1","47.5","351","8010","7459","0.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wrangell City and Borough","AK","17.9","20.3","4.8","16.7","89","-1","16.9","1.9","0.4","2.2","0","10.3","70.6","69.2","71.4","1149","1422","157400","2.01","45841","-1","2.8","400.04","-1","-1","-1","-1","48.2","364","2364","2369","0.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Yakutat City and Borough","AK","12.8","19.2","5.7","22.7","93.2","-1","36.1","4.6","2.5","3.3","1.7","15.3","39.8","37.2","49.6","254","450","147500","2.15","72500","-1","5.9","6981.94","-1","-1","-1","-1","44.6","58","635","662","0.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Yukon-Koyukuk Census Area","AK","13.3","27.8","8.3","9.3","80.3","-1","70.7","0.3","0.6","2","0.1","5","23.2","22","70.4","2056","4024","106500","2.72","34710","-1","1.1","4390.28","-1","-1","-1","-1","46.3","419","5547","5588","0","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Autauga County","AL","13.8","25.2","6","20.9","85.6","-1","0.5","1.1","18.7","2.7","0.1","1.8","77.9","75.6","76.8","20071","22751","136200","2.71","53682","-1","1.6","235.51","-1","-1","-1","-1","51.4","5922","55395","54571","91.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Baldwin County","AL","18.7","22.2","5.6","27.7","89.1","-1","0.7","0.9","9.6","4.6","0.1","1.6","87.1","83","72.6","73283","107374","168600","2.52","50221","-1","3.6","15.03","-1","-1","-1","-1","51.2","19346","200111","182265","114.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Barbour County","AL","16.5","21.2","5.7","13.4","73.7","-1","0.6","0.5","47.6","4.5","0.2","0.9","50.2","46.6","67.7","9200","11799","89200","2.66","32911","-1","2.9","866.46","-1","-1","-1","-1","46.6","2120","26887","27457","31","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bibb County","AL","14.8","21","5.3","12.1","77.5","-1","0.4","0.2","22.1","2.1","0.1","0.9","76.3","74.5","79","7091","8978","90500","3.03","36447","-1","1.2","915.07","-1","-1","-1","-1","45.9","1327","22506","22915","36.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Blount County","AL","17","23.6","6.1","12.1","77","-1","0.6","0.3","1.8","8.7","0.1","1.2","96","87.8","81","21108","23826","117100","2.7","44145","-1","4.3","639.08","-1","-1","-1","-1","50.5","4540","57719","57322","88.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bullock County","AL","14.9","21.4","6.3","12.5","67.8","-1","0.8","0.3","70.1","7.5","0.7","1.1","26.9","22.1","74.3","3741","4461","70600","2.73","32033","-1","5.4","825.23","-1","-1","-1","-1","45.3","636","10764","10914","17.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Butler County","AL","18","23.6","6.1","14","76.3","-1","0.4","0.9","44","1.2","0","0.8","53.9","53.1","70.3","8235","9916","74700","2.47","29918","-1","0.8","424.16","-1","-1","-1","-1","53.6","1497","20296","20947","27","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Calhoun County","AL","16","22.2","5.7","16.1","78.6","-1","0.5","0.9","21.1","3.5","0.1","1.7","75.8","72.9","68.7","45196","53289","100600","2.54","39962","-1","2.4","445.46","-1","-1","-1","-1","51.8","11385","115916","118572","195.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Chambers County","AL","18.3","21.4","5.9","11.8","75.1","-1","0.3","0.8","39.5","2","0.1","1.1","58.3","56.8","67.9","13722","16894","81200","2.46","32402","-1","1.1","730.08","-1","-1","-1","-1","52.3","2691","34076","34215","57.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cherokee County","AL","20.9","20.4","4.8","12.8","78.3","-1","0.5","0.3","4.6","1.5","0","1.6","93","91.6","76.1","11656","16241","99400","2.2","34907","-1","0.7","657.31","-1","-1","-1","-1","50.2","2174","26037","25989","46.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Chilton County","AL","15.2","24.2","6.4","12.9","76","-1","0.5","0.4","10.6","7.7","0.2","1.2","87.1","80.3","74.5","16232","19221","102600","2.67","41250","-1","5.2","500.3","-1","-1","-1","-1","50.8","3308","43931","43643","63","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Choctaw County","AL","20.8","20.6","4.9","11.8","75.2","-1","0.2","0.3","42.4","0.8","0","0.5","56.6","56.1","83.7","5518","7231","58200","2.45","33941","-1","0.3","344.34","-1","-1","-1","-1","52.5","938","13323","13859","15.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clarke County","AL","18","22.6","5.6","11.2","78.3","-1","0.4","0.5","44.2","1.3","0","0.8","54","53.1","72.9","9631","12583","85600","2.63","29357","-1","0.3","402.5","-1","-1","-1","-1","52.8","1583","24945","25833","20.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clay County","AL","19.4","21.6","5.3","9.2","76.5","-1","0.6","0.3","14.5","3.4","0","1.8","82.8","79.7","75","5649","6736","79900","2.38","34002","-1","2.2","761.85","-1","-1","-1","-1","50.6","1076","13552","13932","23.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cleburne County","AL","18.4","23.3","5.7","9","76","-1","0.4","0.2","3.6","2.5","0.1","1.2","94.5","92.3","77.6","5601","6690","100800","2.64","38019","-1","1.5","571.86","-1","-1","-1","-1","50.4","989","15080","14972","26.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Coffee County","AL","15.9","23.7","6.1","22.5","82.4","-1","1.4","1.6","17.7","6.4","0.4","2.5","76.4","71.3","69.9","18820","22852","131000","2.65","43768","-1","5.1","738.33","-1","-1","-1","-1","50.5","6066","50909","49948","73.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Colbert County","AL","18.5","21.7","5.7","17.7","83.5","-1","0.6","0.5","16.3","2.6","0.1","1.7","80.8","78.8","72.1","22260","26192","99300","2.42","39077","-1","2","594.58","-1","-1","-1","-1","51.8","4376","54543","54428","91.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Conecuh County","AL","20.4","21.4","5.5","8.8","77.3","-1","0.4","0.1","46.2","1.8","0","1.2","52.1","51.1","79.1","4994","7055","69600","2.61","24658","-1","0.6","355.27","-1","-1","-1","-1","51.9","1101","12670","13228","15.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Coosa County","AL","18.5","18.3","4.8","9.8","75","-1","0.6","0.2","31.8","2.3","0.2","1.2","66.1","64.8","83","4506","6458","75100","2.42","37277","-1","1.8","473.93","-1","-1","-1","-1","49.5","934","10886","11539","17.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Covington County","AL","19.8","22.1","5.9","14.2","78.4","-1","0.6","0.5","13","1.6","0","1.6","84.3","83.1","75.1","15041","18778","88800","2.48","35869","-1","1.4","730.1","-1","-1","-1","-1","51.6","3433","37914","37765","36.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Crenshaw County","AL","18","22.7","6.1","12.7","76.7","-1","0.5","1.8","24","1.7","0.1","1.6","72","70.6","69.9","5601","6708","70800","2.46","36275","-1","2.3","1704.68","-1","-1","-1","-1","51.1","1098","13977","13906","22.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cullman County","AL","17.6","22.5","5.9","14.8","79.8","-1","0.6","0.5","1.4","4.4","0","1.2","96.2","92.1","75","31342","37131","106100","2.53","38847","-1","3","579.65","-1","-1","-1","-1","50.5","6167","81289","80406","109.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dale County","AL","15.4","23.6","6.3","17","84.1","-1","0.8","1.3","19.7","6.1","0.1","2.8","75.2","70.2","61.1","19345","22832","99400","2.52","44889","-1","3.7","201.83","-1","-1","-1","-1","50.5","6730","49484","50251","89.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dallas County","AL","15.6","25.2","6.7","14.2","77.5","-1","0.2","0.5","69.5","1","0","0.7","29","28.5","60.9","16173","20240","75700","2.63","26519","-1","0.8","337.16","-1","-1","-1","-1","53.7","2897","41711","43820","44.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"DeKalb County","AL","15.7","24.7","6.2","10.7","70.6","-1","2.1","0.4","2.1","14.2","0.7","2.2","92.4","80.6","76.3","24923","31035","93400","2.82","37851","-1","7.5","1062.6","-1","-1","-1","-1","50.7","4371","71065","71109","91.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Elmore County","AL","14","23","5.9","21","86.6","-1","0.4","0.7","21.2","2.7","0.1","1.6","76","73.7","75.5","28324","33326","144600","2.62","54766","-1","2.1","432.7","-1","-1","-1","-1","51.5","8364","80977","79303","128.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Escambia County","AL","16.7","22","6.1","11.7","76.2","-1","3.4","0.3","32.4","2.1","0.1","1.7","62.2","60.6","72.5","13681","16402","84100","2.59","30687","-1","0.6","1500.71","-1","-1","-1","-1","48.8","2995","37733","38319","40.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Etowah County","AL","17.3","22.1","5.7","14.8","81.8","-1","0.5","0.8","15.5","3.7","0.3","1.6","81.2","78.4","72.4","40217","47505","100000","2.55","38013","-1","2.2","467.93","-1","-1","-1","-1","51.6","8638","103531","104430","195.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Fayette County","AL","19.6","21.7","5.4","13.2","74.9","-1","0.4","0.3","11.9","1.4","0","1.1","86.2","85","74.9","6956","8404","71400","2.41","33838","-1","0.6","797.78","-1","-1","-1","-1","50.5","1221","16874","17241","27.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Franklin County","AL","15.9","24.3","6.6","11","72.5","-1","1.5","0.4","4.6","16.1","0.2","1.5","91.9","78","69.5","12437","14048","82300","2.52","36415","-1","8.4","414.9","-1","-1","-1","-1","50.3","1860","31601","31704","50","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Geneva County","AL","19.2","22.2","5.8","10.4","77.2","-1","1","0.4","9.7","3.6","0.1","1.7","87.1","84.1","72.1","10945","12646","78100","2.43","35625","-1","1.8","423.01","-1","-1","-1","-1","50.8","2336","26712","26790","46.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Greene County","AL","17.9","23.3","5.9","12.8","76.2","-1","0.2","0.2","80.5","1","0","0.6","18.5","17.9","73.2","3264","4988","72700","2.72","24226","-1","0.2","857.22","-1","-1","-1","-1","52.5","502","8553","9045","14","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hale County","AL","17.3","23.3","6.2","12.8","77.4","-1","0.2","0.3","58.1","1.3","0","0.6","40.8","40","78","5969","7639","79900","2.56","30051","-1","1.2","475.7","-1","-1","-1","-1","52.8","995","15184","15760","24.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Henry County","AL","20.8","21.2","5.5","16.6","80.1","-1","0.3","0.7","27.3","2.6","0","1.2","70.4","68.4","77.7","7001","8961","97000","2.44","41650","-1","2.9","11197.52","-1","-1","-1","-1","51.8","1497","17190","17302","30.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Houston County","AL","16.1","23.7","6.2","19.7","83.9","-1","0.5","0.9","26.7","3.3","0.1","1.8","70","67.3","64.6","39250","46442","122300","2.58","40948","-1","2.4","497.29","-1","-1","-1","-1","52.1","9254","104193","101547","175.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jackson County","AL","18.6","21.7","5.4","13","74.6","-1","1.6","0.5","3.6","2.9","0.1","2.6","91.5","89.4","75.2","20765","24755","93400","2.53","37634","-1","2.2","507.08","-1","-1","-1","-1","50.7","4000","52665","53227","49.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jefferson County","AL","14.3","23.1","6.6","30","87.4","-1","0.3","1.6","42.9","3.8","0.1","1.1","54","50.8","64.7","259634","305040","140800","2.48","45429","-1","4.1","333.49","-1","-1","-1","-1","52.8","46613","660793","658466","592.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lamar County","AL","20.5","21.7","5","9.5","76.1","-1","0.2","0.1","11.3","1.4","0","1.4","87.1","85.8","71.5","6084","7326","66800","2.32","36028","-1","0.6","252.07","-1","-1","-1","-1","51.2","1127","14086","14564","24.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lauderdale County","AL","18.2","20.5","5.2","21.1","83.8","-1","0.5","0.9","10.4","2.4","0.1","1.5","86.7","84.7","69.9","38458","44353","114300","2.36","42844","-1","2.1","798.1","-1","-1","-1","-1","52.1","7000","93096","92709","138.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lawrence County","AL","16.8","21.7","5.3","11.9","77.1","-1","5.8","0.2","11.4","2.2","0","4.4","78.1","76.4","80.1","13382","15171","94200","2.52","38551","-1","1","903.11","-1","-1","-1","-1","51.3","1891","33477","34339","49.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lee County","AL","10.3","21.6","5.8","32.5","86.7","-1","0.4","3.3","23.7","3.9","0.1","1.5","70.9","67.7","61.7","55864","65566","146900","2.49","43542","-1","5.1","1350.18","-1","-1","-1","-1","50.7","10045","154255","140247","230.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Limestone County","AL","13.8","23.4","5.9","22.7","81.5","-1","0.8","1.4","13.5","5.8","0.2","2.1","82","77.2","76.6","31794","35445","134500","2.56","48619","-1","4.3","363.19","-1","-1","-1","-1","49.7","6964","90787","82782","147.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lowndes County","AL","17.4","23.1","6.7","14.4","73.9","-1","0.3","0.2","72.9","1.2","0","0.8","25.8","25.3","74.9","4212","5089","71400","2.61","26230","-1","0.2","988.77","-1","-1","-1","-1","52.3","626","10580","11299","15.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Macon County","AL","16.8","18.3","4.7","19.6","80","-1","0.2","0.3","81.5","1.5","0","1.4","16.7","16.2","65.7","8107","10217","75700","2.29","30724","-1","1.1","25.97","-1","-1","-1","-1","54.2","1662","19425","21452","35.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Madison County","AL","13.7","22.4","5.8","38.5","90","-1","0.8","2.6","24.6","4.7","0.1","2.5","69.4","65.5","69.3","132975","154452","164500","2.5","58434","-1","5.4","653.2","-1","-1","-1","-1","51.2","34203","350299","334811","417.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marengo County","AL","18.6","23","6","17.4","83.7","-1","0.3","0.3","51","2.4","0.2","0.8","47.4","45.6","71.3","8464","10207","89600","2.42","35079","-1","0.7","909.11","-1","-1","-1","-1","53.2","1462","20110","21027","21.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marion County","AL","20.1","21.2","5.4","9.5","74.6","-1","0.3","0.3","4.2","2.5","0.1","1.2","93.9","91.7","75.9","12700","14704","78700","2.34","32888","-1","1","6671.33","-1","-1","-1","-1","50.4","2287","30271","30776","41.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marshall County","AL","16.3","24.5","6.6","15.2","76.2","-1","1.1","0.7","2.7","12.9","0.3","1.6","93.7","82.3","71.9","34250","40328","114000","2.7","39526","-1","8","715.36","-1","-1","-1","-1","50.9","7192","94636","93019","164.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Mobile County","AL","14.5","24","6.7","20.7","83.9","-1","1","2","35.3","2.8","0.1","1.5","60.1","57.8","66.6","155178","181611","124300","2.6","43028","-1","3.2","289.98","-1","-1","-1","-1","52.2","33586","415123","412992","335.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Monroe County","AL","17.9","23.4","5.5","10.6","76.1","-1","1.3","0.4","41.1","1.2","0","1.6","55.5","54.7","74","8333","11274","76900","2.71","29203","-1","0.9","422.95","-1","-1","-1","-1","52.6","1237","21947","23068","22.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Montgomery County","AL","13.3","24","6.8","31.5","85.6","-1","0.3","2.6","56.7","3.4","0.1","1.3","38.9","36.3","61.4","88844","103434","122900","2.49","44790","-1","4.3","1045.04","-1","-1","-1","-1","52.6","20008","226189","229363","292.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Morgan County","AL","15.9","23.1","6","19.9","81.4","-1","1.1","0.7","12.5","7.9","0.1","2","83.5","76.6","71.5","46192","51496","120500","2.55","44800","-1","5.1","925.35","-1","-1","-1","-1","50.8","9518","119607","119490","206.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Perry County","AL","17.9","22.4","5.5","10.4","70.2","-1","0.2","0.4","67.5","1.3","0.1","0.7","31.1","30.3","67","3400","4691","58000","2.84","28209","-1","0.5","701.93","-1","-1","-1","-1","53.4","670","9826","10591","14.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pickens County","AL","17.8","20.5","5.2","11","79.7","-1","0.2","0.3","40.2","4.1","0.4","0.9","58.1","54.7","72","7926","9441","81900","2.42","28741","-1","0.3","636.21","-1","-1","-1","-1","50.6","1610","20365","19746","22.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pike County","AL","14.1","19.4","5.7","23","81","-1","0.7","2.2","36.9","2.2","0.1","1.6","58.5","57.1","57.8","12959","15807","101000","2.4","33090","-1","4","338.66","-1","-1","-1","-1","51.9","2516","33389","32899","48.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Randolph County","AL","19.6","22","5.7","11.1","72.6","-1","0.5","0.3","20.2","2.9","0.1","1.4","77.6","75","72.3","9013","11928","88600","2.48","35213","-1","1.7","1219.54","-1","-1","-1","-1","51.4","1598","22539","22913","39.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Russell County","AL","12.5","25.3","7.6","16","80.4","-1","0.6","0.8","42.9","5","0.2","2.4","53.1","49.5","61.3","21142","26787","104400","2.6","36143","-1","2.2","431.17","-1","-1","-1","-1","51.3","5977","59608","52947","82.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Shelby County","AL","13","24.4","6","40.3","91.2","-1","0.4","2.2","12.1","6","0","1.3","84","78.5","79","74144","83498","193000","2.64","68770","-1","6","547.3","-1","-1","-1","-1","51.2","13991","206655","195085","248.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"St. Clair County","AL","15.3","23","6.1","15.5","82","-1","0.4","0.8","9.5","2.3","0.1","1.3","87.9","85.9","81.5","31353","35844","134600","2.63","50786","-1","1.8","503.6","-1","-1","-1","-1","50.1","6928","86697","83593","132.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
